0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:18 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:18 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:18 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:18 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:18 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:18 +0530] "GET /Ecommerce/resources/images/noaccess.jpg HTTP/1.1" 200 8998
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:18 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:18 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:22 +0530] "GET /Ecommerce/admin/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:22 +0530] "GET /Ecommerce/login HTTP/1.1" 200 10583
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:22 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:22 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:22 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:22 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:22 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:22 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:22 +0530] "GET /Ecommerce/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:23 +0530] "GET /Ecommerce/resources/css/loginpage.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:23 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/admin/add1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/login HTTP/1.1" 200 10583
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/resources/css/loginpage.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:25 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:33 +0530] "GET /Ecommerce/admin/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:33 +0530] "GET /Ecommerce/login HTTP/1.1" 200 10583
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:34 +0530] "GET /Ecommerce/resources/css/loginpage.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:34 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:34 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:34 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:34 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:34 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:34 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:34 +0530] "GET /Ecommerce/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:34 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:35 +0530] "GET /Ecommerce/reg HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:35 +0530] "GET /Ecommerce/.resources/css/registerpage.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:35 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:35 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:35 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:35 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:35 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:35 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:35 +0530] "GET /Ecommerce/.resources/css/registerpage.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:35 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:06:58 +0530] "GET /Ecommerce/reg HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:06:58 +0530] "GET /Ecommerce/.resources/css/registerpage.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:06:58 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:06:58 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:06:58 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:06:58 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:06:58 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:06:58 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:06:58 +0530] "GET /Ecommerce/.resources/css/registerpage.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:06:58 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:00 +0530] "GET /Ecommerce/reg HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:00 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:00 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:00 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:00 +0530] "GET /Ecommerce/.resources/css/registerpage.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:00 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:00 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:00 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:00 +0530] "GET /Ecommerce/.resources/css/registerpage.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:00 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:01 +0530] "GET /Ecommerce/reg HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:01 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:01 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:01 +0530] "GET /Ecommerce/.resources/css/registerpage.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:01 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:01 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:01 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:01 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:01 +0530] "GET /Ecommerce/.resources/css/registerpage.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:01 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/admin/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/login HTTP/1.1" 200 10583
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/resources/css/loginpage.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:04 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:06 +0530] "GET /Ecommerce/login HTTP/1.1" 200 10583
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:06 +0530] "GET /Ecommerce/resources/css/loginpage.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:06 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:06 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:06 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:06 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:06 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:06 +0530] "GET /Ecommerce/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:06 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:06 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:07 +0530] "GET /Ecommerce/login HTTP/1.1" 200 10583
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:07 +0530] "GET /Ecommerce/resources/css/loginpage.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:07 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:07 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:07 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:07 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:07 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:07 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:07:07 +0530] "GET /Ecommerce/resources/images/loginlogo.png HTTP/1.1" 404 992
