127.0.0.1 - - [19/Mar/2018:19:42:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/ HTTP/1.1" 200 12595
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/images/Arun_brandings/Home_Icon.png HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/images/Arun_brandings/slide2.png HTTP/1.1" 200 601533
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/images/Arun_brandings/slide3.png HTTP/1.1" 200 1209520
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/images/Arun_brandings/slide1.jpg HTTP/1.1" 200 198953
0:0:0:0:0:0:0:1 - - [19/Mar/2018:19:42:20 +0530] "GET /Ecommerce/resources/images/Exotic_IceCreams/AICEE004-500x500.jpg HTTP/1.1" 200 96224
